UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ADM_RATE,SAT_AVG,SAT_AVG_ALL,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,COMPL_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,DEP_RPY_3YR_RT_SUPP,IND_RPY_3YR_RT_SUPP,PELL_RPY_3YR_RT_SUPP,NOPELL_RPY_3YR_RT_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,NOTFIRSTGEN_RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,C200_4_POOLED_SUPP,ALIAS,C100_4,D100_4,C100_L4,D100_L4,TRANS_4,DTRANS_4,TRANS_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM,
101116,1303906,13039,South University-Montgomery,Montgomery,AL,0,0,0,9500,25167,258.2866662,0.195371136,0.145717821,0.276571796,0.458011802,0.472742067,0.170835283,0.243354839,0.188320061,0.14915185,0.39100346,0.193388993,0.202245531,0.18412641,0.209016393,0,0.085078723,0,0.199995,0,0.0476,21,0,0,0,43,0,0,1,0.2625,0.7375,19661,0,
101143,101500,1015,Enterprise State Community College,Enterprise,AL,0,0,0,5774,8273,84.90505781,0.42632171,0.311111111,0.536585366,0.663551402,-1,-1,0.502564103,0.366733467,0.366818874,0.594827586,0.332247557,0.475945017,0.388758782,0.461038961,0.109096032,0,0.195707083,0,Enterprise-Ozark Community College  |Enterprise State Junior College,0,0,0.0615,488,0,0,0.2213,488,2,0.5396,0.4604,499,0,
101161,106000,1060,James H Faulkner State Community College,Bay Minette,AL,0,0,0,5500,11000,112.8920145,0.364308342,0.255717256,0.427007299,0.546875,0.568527919,0.340601061,0.394570136,0.321926489,0.284243864,0.524564184,0.357364341,0.379139073,0.371428571,0.357723577,0.104162596,0,0.136281921,0,0,0,0,0.074,906,0,0,0,906,2,0.3682,0.6318,1107,0,
101189,100300,1003,Faulkner University,Montgomery,AL,0,0,0,15500,22000,225.784029,0.313039528,0.203862661,0.41025641,0.662162162,0.430232558,0.303104978,0.477929985,0.242875648,0.238288028,0.586864407,0.259452412,0.436281859,0.304347826,0.321428571,0,0.262231898,0,0.352157258,Faulkner,0.1193,218,0,0,0.4954,218,0,0,1,0.3954,0.6046,1417,0,
101240,101700,1017,Gadsden State Community College,Gadsden,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136799001,0,0.200224839,0,GSCC | Gadsden State | Gadsden Community College,0,0,0.0609,1380,0,0,0.1399,1380,2,0.4015,0.5985,0,0,
101277,4187200,41872,New Beginning College of Cosmetology,Albertville,AL,0,0,0,5500,5500,56.44600725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733308889,0,0.765974468,0,0,0,0,0.375,56,0,0,0,56,3,0.0174,0.9826,0,0,
101286,101800,1018,George C Wallace State Community College-Dothan,Dothan,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148545558,0,0.253258762,0,WALLACE DOTHAN|WCCD,0,0,0.034,972,0,0,0.1708,972,2,0.3534,0.6466,0,0,
101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,0,0,0,8000,11186,114.8009158,0.442185938,0.328605201,0.536612022,0.710659899,0.643109541,0.362918216,0.562776957,0.343047966,0.368103448,0.694566814,0.435068216,0.455968689,0.428333333,0.462947544,0.213542756,0,0.259802552,0,Wallace State Community College |Wallace State - Hanceville,0,0,0.114,895,0,0,0.2235,895,2,0.375,0.625,1744,0,
101301,569900,5699,George C Wallace State Community College-Selma,Selma,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226286473,0,0.26112577,0,Wallace Community College - Selma,0,0,0.0851,376,0,0,0.0851,376,2,0.3543,0.6457,0,0,
101365,962107,9621,Herzing University-Birmingham,Birmingham,AL,1,0,0,10628,23216.5,238.2688595,0.253437824,0.193502248,0.354077253,0.577494692,0.4384273,0.207386888,0.378136201,0.22879405,0.204648724,0.521613833,0.239675516,0.30918596,0.244123932,0.264988407,0,0.246169231,0,0.224467347,0,0,3,0,0,0,20,0,0,1,0.3576,0.6424,6147,0,
101435,101900,1019,Huntingdon College,Montgomery,AL,0.5839,1026,1026,16701.5,26230,269.19614,0.530351438,0.408653846,0.558685446,0.624390244,0.66552901,0.411411411,0.536866359,0.515625,0.440476191,0.634482759,0.537735849,0.522727273,0.513011152,0.543417367,0,0.441176667,0,0.501220301,0,0.3004,253,0,0,0,253,0,0,1,0.5065,0.4935,370,0,
101453,2199700,21997,Heritage Christian University,Florence,AL,1,0,0,-1,-1,-1,0.4,0.322580645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0.25,4,0,0,0,4,0,0,1,0.9194,0.0806,69,0,
101462,526000,5260,J F Drake State Community and Technical College,Huntsville,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139596447,0,0.184963226,0,Drake State,0,0,0.0181,166,0,0,0.1205,166,2,0.4435,0.5565,0,0,
101480,102000,1020,Jacksonville State University,Jacksonville,AL,0.8326,1041,1041,15871,23000,236.0469394,0.390989541,0.304852321,0.424802111,0.570402299,0.577319588,0.284268241,0.402914533,0.365546219,0.326775956,0.570121951,0.397732426,0.381233596,0.377588307,0.401533301,0,0.304613347,0,0.34632956,0,0.0869,1243,0,0,0,1243,0,0,1,0.4285,0.5715,2631,0,
101499,102100,1021,Jefferson Davis Community College,Brewton,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237949814,0,0.362907325,0,JDCC,0,0,0.1752,274,0,0,0.2409,274,2,0.4327,0.5673,0,0,
101505,102200,1022,Jefferson State Community College,Birmingham,AL,0,0,0,4500,8916.5,91.50924065,0.442242833,0.328056289,0.514612452,0.604910714,0.64673913,0.404690619,0.477625571,0.411902897,0.355656697,0.601918465,0.42249047,0.481203008,0.456185567,0.428807947,0.057205333,0,0.126448172,0,Jeff State | JSCC | Jefferson State,0,0,0.0197,1268,0,0,0.2074,1268,2,0.3881,0.6119,1524,0,
101514,101300,1013,John C Calhoun State Community College,Tanner,AL,0,0,0,5500,10500,107.7605593,0.383159269,0.269002375,0.484918794,0.584942085,0.605820106,0.351824274,0.470842333,0.310447761,0.302250804,0.581736189,0.362895005,0.41923775,0.359975595,0.409824561,0.130149982,0,0.162608818,0,Calhoun Community College,0,0,0.0732,1311,0,0,0.1747,1311,2,0.4334,0.5666,1770,0,
101541,102300,1023,Judson College,Marion,AL,0.6525,0,0,16797.5,-1,-1,0.515337423,0.390625,0.571428571,0.638888889,0.65,0.471544715,0.5078125,0.542857143,0.436893204,0.65,-1,-1,0.485714286,0.537634409,0,0.419568391,0,0.376671233,0,0.3684,95,0,0,0.3684,95,0,0,1,0.0319,0.9681,83,0,
101569,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143546309,0,0.19990642,0,0,0,0,0.0314,893,0,0,0.3135,893,2,0.4034,0.5966,0,0,
101587,102400,1024,University of West Alabama,Livingston,AL,0.7199,990,990,12500,24253,248.9063661,0.324853229,0.242728185,0.393586006,0.626943005,0.575630252,0.278764479,0.353757225,0.28742515,0.257894737,0.51908397,0.316666667,0.338568935,0.311369509,0.338603426,0,0.322358216,0,0.283430096,0,0.1951,246,0,0,0.2548,310,0,0,1,0.441,0.559,2220,0,
101602,898800,8988,Lurleen B Wallace Community College,Andalusia,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199961358,0,0.233530076,0,Lurleen B. Wallace Community College |LBW Community College |LBWCC,0,0,0.1114,377,0,0,0.2334,377,2,0.379,0.621,0,0,
101648,102600,1026,Marion Military Institute,Marion,AL,0.6139,1055,1055,5500,11500,118.0234697,0.528,0.378378378,0.5,0.673913044,0.635294118,0.472727273,-1,-1,0.3828125,0.680327869,0.41025641,0.549763033,0.522727273,0.530864198,0.260011,0,0.250530228,0,0,0,0,0.2362,271,0,0,0.428,271,2,0.8129,0.1871,161,0,
101675,102800,1028,Miles College,Fairfield,AL,0,0,0,12250,36789.5,377.5673425,0.133333333,0.118395303,0.148788927,0.242424242,0.299212598,0.116913484,0.125343092,0.160883281,0.120127287,0.241830065,0.141654979,0.12482066,0.130081301,0.135849057,0,0.209038754,0,0.192982456,0,0.0824,461,0,0,0,461,0,0,1,0.5107,0.4893,853,0,
101693,102900,1029,University of Mobile,Mobile,AL,0.5847,1014,1014,21950,27000,277.098581,0.461176471,0.291878173,0.482352941,0.766169154,0.594674556,0.373046875,0.615546219,0.264705882,0.351102941,0.656862745,0.402027027,0.596899225,0.390934844,0.511066398,0,0.447160352,0,0.43632095,0,0.249,241,0,0,0.0488,246,0,0,1,0.35,0.65,574,0,
101709,100400,1004,University of Montevallo,Montevallo,AL,0.743,1070,1070,15110,23266,238.7768736,0.53853211,0.451271186,0.58490566,0.626666667,0.677669903,0.413913044,0.578692494,0.412878788,0.486447932,0.632390746,0.556462585,0.501408451,0.550660793,0.529874214,0,0.446483333,0,0.462254717,0,0.2071,507,0,0,0.3097,507,0,0,1,0.3343,0.6657,805,0,
101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,0,0,0,4750,11250,115.4577421,0.370323399,0.26958291,0.504761905,0.614942529,0.627906977,0.338790036,0.431729519,0.311881188,0.303787268,0.616071429,0.349019608,0.409335727,0.342945417,0.414191419,0.12139434,0,0.228739019,0,0,0,0,0.041,756,0,0,0.0357,756,2,0.4225,0.5775,852,0,
101879,101600,1016,University of North Alabama,Florence,AL,0.6788,1029,1029,12638,21500,220.6525738,0.508706468,0.393162393,0.559681698,0.646280992,0.725596529,0.374496644,0.543612831,0.411023622,0.453621347,0.612171838,0.528795812,0.48372093,0.494642857,0.520897833,0,0.354566087,0,0.360808546,0,0.1204,988,0,0,0.3543,988,0,0,1,0.4257,0.5743,1532,0,
101897,103100,1031,Northeast Alabama Community College,Rainsville,AL,0,0,0,3500,4500,46.18309684,0.472752044,0.371882086,0.591743119,0.72,0.633802817,0.406909789,0.566343042,0.404705882,0.417094017,0.691275168,0.463073852,0.493562232,0.47505423,0.468864469,0.262178659,0,0.277749502,0,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",0,0,0.1888,641,0,0,0.1451,641,2,0.3694,0.6306,396,0,
101912,103300,1033,Oakwood University,Huntsville,AL,0.4787,928,928,23500,27250,279.6643086,0.251807229,0.204301075,0.279569893,0.30726257,0.464052288,0.203840473,0.246636771,0.273291926,0.211055276,0.356223176,0.273291926,0.221902017,0.260869565,0.249626308,0,0.401248301,0,0.396992462,0,0.1988,483,0,0,0,485,0,0,1,0.4318,0.5682,540,0,
101949,103400,1034,Alabama Southern Community College,Monroeville,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241824299,0,0.307781022,0,0,0,0,0.1863,424,0,0,0,424,2,0.3653,0.6347,0,0,
101958,2296000,22960,Prince Institute-Southeast,Elmhurst,IL,0,0,0,15834,20992,215.4390153,0.357142857,-1,0.566666667,-1,-1,-1,-1,-1,0.283783784,-1,-1,-1,0.425,0.310344828,0.243914634,0,-1,0,Prince Institute |Prince Institute of Professional Studies,0,0,0.1111,9,0,0,0.1111,9,2,0.0714,0.9286,157,0,
101994,569200,5692,Reid State Technical College,Evergreen,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290358065,0,0.439384091,0,0,0,0,0.1696,112,0,0,0.0804,112,2,0.3247,0.6753,0,0,
102030,103000,1030,Bishop State Community College,Mobile,AL,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097403897,0,0.186875208,0,0,0,0,0.088,727,0,0,0.0949,727,2,0.3926,0.6074,0,0,
102049,103600,1036,Samford University,Birmingham,AL,0.5954,1165,1165,17250,23000,236.0469394,0.753681392,0.623595506,0.717391304,0.831168831,0.830769231,0.633561644,0.801574803,0.482142857,0.660714286,0.809421842,0.76284585,0.734439834,0.651006711,0.779264214,0,0.676565678,0,0.725994192,0,0.4766,705,0,0,0,705,0,0,1,0.3508,0.6492,911,0,
102058,4067300,40673,Selma University,Selma,AL,0,0,0,5050,-1,-1,0.106557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.214084164,0,0.2341,0,0.0378,185,0,0,0.0366,191,0,0,1,0.4131,0.5869,105,0,
102067,569100,5691,Shelton State Community College,Tuscaloosa,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096500631,0,0.145585593,0,0,0,0,0.0423,662,0,0,0.4743,662,2,0.4446,0.5554,0,0,
102076,103800,1038,Snead State Community College,Boaz,AL,0,0,0,3500,6374,65.41579094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318761985,0,0.334457214,0,0,0,0,0.2365,592,0,0,0.201,592,2,0.3999,0.6001,0,0,
102094,105700,1057,University of South Alabama,Mobile,AL,0.8335,1048,1048,13000,24711,253.6067791,0.431894306,0.32945591,0.483116883,0.597946963,0.619368203,0.326749927,0.475687104,0.361609307,0.350352113,0.573245168,0.422320118,0.44845099,0.408794079,0.449138772,0,0.358990867,0,0.427733293,0,0.1538,1495,0,0,0.3221,1543,0,0,1,0.4388,0.5612,3847,0,
102234,104100,1041,Spring Hill College,Mobile,AL,0.5177,1116,1116,20500,27000,277.098581,0.59234609,0.424528302,0.58988764,0.763033175,0.732758621,0.504065041,0.669338677,0.215686275,0.508090615,0.681506849,0.56443299,0.643192488,0.494505495,0.634844869,0,0.571847514,0,0.621960582,Springhill|Springhill College|SHC|the Hill,0.5087,344,0,0,0,344,0,0,1,0.3967,0.6033,420,0,
102261,2270400,22704,Southeastern Bible College,Birmingham,AL,1,930,930,20000,24000,246.3098498,0.311258278,0.266666667,0.307692308,-1,0.52631579,0.238938053,0.410714286,0.252631579,0.267326733,0.4,0.253968254,0.352272727,0.333333333,0.296703297,0,0.187479167,0,0.319165957,0,0.1538,13,0,0,0,17,0,0,1,0.5529,0.4471,83,0,
102270,104400,1044,Stillman College,Tuscaloosa,AL,0.5901,811,811,15575,38218,392.22791,0.156037992,0.125773196,0.16374269,0.320987654,0.309859155,0.119327731,-1,-1,0.135265701,0.267241379,0.143958869,0.16954023,0.14511041,0.164285714,0,0.230312,0,0.380947253,0,0.1208,447,0,0,0,447,0,0,1,0.5398,0.4602,442,0,
102298,104600,1046,Talladega College,Talladega,AL,0,0,0,15625,27745,284.7444493,0.140039448,0.123655914,-1,-1,0.256637168,0.106598985,0.132231405,0.159722222,-1,-1,0.150537634,0.127192983,0.12195122,0.157088123,0,0.574560773,0,0.272162295,0,0.3376,237,0,0,0,237,0,0,1,0.5849,0.4151,377,0,
102313,573400,5734,H Councill Trenholm State Community College,Montgomery,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277736806,0,0.480354079,0,Trenholm State,0,0,0.0772,298,0,0,0.0705,298,2,0.5057,0.4943,0,0,
102368,104700,1047,Troy University,Troy,AL,0.4414,1050,1050,14500,25000,256.5727602,0.316718588,0.23585154,0.422965116,0.583747927,0.572327044,0.266169154,0.426640383,0.267957527,0.257869249,0.533198381,0.305996798,0.342066958,0.298941799,0.333843017,0,0.348228524,0,0.362249618,TROY,0.1456,1690,0,0,0.3404,1827,0,0,1,0.3884,0.6116,8713,0,
102377,105000,1050,Tuskegee University,Tuskegee,AL,0.4922,978,978,21500,33500,343.8074987,0.442443226,0.425837321,0.441025641,0.484615385,0.593023256,0.431570109,0.444911691,0.409090909,0.430868167,0.473837209,0.452276065,0.431208054,0.461111111,0.435114504,0,0.454523715,0,0.465456841,0,0.2133,722,0,0,0.0623,722,0,0,1,0.4258,0.5742,901,0,
102395,2170600,21706,United States Sports Academy,Daphne,AL,0,0,0,10225,-1,-1,0.450980392,0.372881356,-1,-1,-1,0.425,-1,-1,0.385714286,0.59375,-1,-1,0.489795918,0.41509434,0,0,0,0,The Academy |America's Sports University,0,0,0,0,0,0,0,0,1,0.8111,0.1889,233,0,
102429,573300,5733,Bevill State Community College,Jasper,AL,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151254415,0,0.254122994,0,0,0,0,0.0831,806,0,0,0.1824,806,2,0.3654,0.6346,0,0,
102553,1146200,11462,University of Alaska Anchorage,Anchorage,AK,0,0,0,10261,19449.5,199.608476,0.545651703,0.436592449,0.59173314,0.684391081,0.791934006,0.469318182,0.63425254,0.473663522,0.437236085,0.686440678,0.550472041,0.538502962,0.50686378,0.572690467,0,0.252541205,0,0.31618512,UAA,0.0802,923,0,0,0,1350,0,0,1,0.4236,0.5764,2888,0,
102580,884300,8843,Alaska Bible College,Palmer,AK,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0.5556,0.4444,0,0,
102614,106300,1063,University of Alaska Fairbanks,Fairbanks,AK,0,0,0,10283,19355,198.638631,0.516996449,0.412100457,0.570945946,0.636182903,0.703448276,0.464192708,0.608476287,0.424489796,0.435791218,0.645287958,0.510579577,0.524886878,0.488810365,0.538324421,0,0.315570823,0,0.381130648,UAF,0.1494,395,0,0,0.2045,763,0,0,1,0.4429,0.5571,1287,0,
102632,106500,1065,University of Alaska Southeast,Juneau,AK,0,0,0,9804,16875,173.1866131,0.500761035,0.428082192,0.533018868,0.594771242,0.675213675,0.462962963,0.552529183,0.4675,0.448818898,0.572463768,0.480676329,0.534979424,0.501901141,0.5,0,0.156750746,0,0.204561932,0,0.0367,109,0,0,0.2688,160,0,0,1,0.348,0.652,465,0,
102669,106100,1061,Alaska Pacific University,Anchorage,AK,0.4207,1054,1054,18750,23250,238.612667,0.605363985,0.408602151,0.740740741,0.666666667,0.744680851,0.526946108,0.661290323,0.554744526,0.518518519,0.747474748,0.587912088,0.64556962,0.62244898,0.595092025,0,0.514833663,0,0.505238947,0,0.5333,60,0,0,0.2333,60,0,0,1,0.3527,0.6473,207,0,
102711,3160300,31603,AVTEC-Alaska's Institute of Technology,Seward,AK,0,0,0,5500,-1,-1,0.647058824,0.553846154,-1,-1,0.660377359,0.6,0.766666667,0.552631579,0.551282051,0.775862069,0.555555556,0.68,0.681818182,0.614285714,0.846055789,0,0.908283721,0,AVTEC,0,0,0.7703,344,0,0,0.064,344,2,0.7885,0.2115,67,0,
102845,2576900,25769,Charter College-Anchorage,Anchorage,AK,0,0,0,10047,13875,142.3978819,0.284845133,0.230648945,0.384517767,0.507407407,0.371503958,0.189424753,0.396946565,0.253710247,0.246108949,0.509398496,0.280478955,0.298837209,0.276445698,0.296843519,0,0.400148336,0,0.309540476,0,0.2364,55,0,0,0,670,0,0,1,0.2908,0.7092,2315,0,
103501,2541000,25410,Alaska Career College,Anchorage,AK,0,0,0,7832.5,8994,92.30461621,0.448830409,0.384778013,0.585185185,0.605263158,0.5,0.313829787,0.574193548,0.412098299,0.39223301,0.621301775,0.455462185,0.404494382,0.455801105,0.440993789,0.707589494,0,0.716647813,0,0,0,0,0.7221,367,0,0,0,367,2,0.1378,0.8622,399,0,
103644,2295000,22950,Everest College-Phoenix,Phoenix,AZ,0,0,0,9481.5,9500,97.49764888,0.132572065,0.110067114,0.219900498,0.347222222,0.248768473,0.086779266,0.221875,0.118791191,0.11639418,0.342412451,0.139245283,0.113769272,0.132921528,0.13202847,0,0.307877464,0,0.176486275,Academy of Business College | |Rhodes College,0.1379,87,0,0,0,2553,0,0,1,0.2626,0.7374,0,0,
103723,2160305,21603,Collins College,Phoenix,AZ,0,0,0,35160,47000,482.3567892,0.191300676,0.133144476,0.254960318,0.410163339,0.316358025,0.144186047,0.226964499,0.151188874,0.142818428,0.362332696,0.211075806,0.174101856,0.180248007,0.201372074,0,0.404930282,0,0.404516976,0,0.3608,158,0,0,0,295,0,0,1,0.7831,0.2169,2698,0,
103732,2173204,21732,Empire Beauty School-Paradise Valley,Phoenix,AZ,0,0,0,7752,9588,98.40078499,0.241297935,0.204268293,0.344481605,0.452380952,0.31372549,0.131851852,0.255673222,0.232108317,0.211267606,0.460784314,0.240554156,0.252336449,0.238403452,0.244791667,0.641792537,0,0.595516854,0,0,0,0,0,39,0,0,0,39,3,0.16,0.84,1632,0,
103741,966403,9664,Empire Beauty School-Tucson,Tucson,AZ,0,0,0,7899,9833,100.915198,0.220665499,0.167095116,0.260504202,0.476190476,0.295580111,0.090909091,0.277777778,0.175548589,0.180084746,0.414141414,0.208333333,0.372093023,0.217125382,0.225409836,0.547626984,0,0.538457692,0,0,0,0,0,67,0,0,0,67,3,0.0714,0.9286,1499,0,
103778,107000,1070,Thunderbird School of Global Management,Glendale,AZ,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Thunderbird,0,0,0,0,0,0,0,0,1,0,1,0,0,
